gisjoin_1800,centroid_x,centroid_y,decade
G0900010,-73.389023,41.273098,1800
G0900030,-72.736771,41.812824,1800
G0900050,-73.243324,41.779293,1800
G0900070,-72.536087,41.464191,1800
G0900090,-72.910538,41.406261,1800
G0900110,-72.110764,41.471821,1800
G0900130,-72.350731,41.872318,1800
G0900150,-72.030586,41.79047,1800
G1000010,-75.570091,39.082642,1800
G1000030,-75.649185,39.570881,1800
G1000050,-75.398026,38.661518,1800
G1100015,-77.041695,38.895695,1800
G1300290,-81.417458,31.997692,1800
G1300310,-81.786949,32.431339,1800
G1300330,-81.994949,33.03167,1800
G1300390,-81.732773,30.932747,1800
G1300510,-81.140846,32.031372,1800
G1300730,-82.333435,33.531147,1800
G1301030,-81.341339,32.367359,1800
G1301050,-82.914848,34.150414,1800
G1301190,-83.236069,34.38578,1800
G1301270,-81.619301,31.29356,1800
G1301330,-83.157387,33.584869,1800
G1301410,-83.014549,33.262932,1800
G1301535,-86.374779,33.203671,1800
G1301570,-83.535034,34.021507,1800
G1301630,-82.420166,33.0644,1800
G1301790,-81.681488,31.913773,1800
G1301810,-82.452888,33.794395,1800
G1301910,-81.508682,31.564247,1800
G1302090,-82.367538,32.3885,1800
G1302210,-83.08931,33.889736,1800
G1302450,-82.073563,33.359638,1800
G1302510,-81.630371,32.753704,1800
G1303010,-82.64016,33.376926,1800
G1303030,-82.810349,32.936848,1800
G1303170,-82.759758,33.751274,1800
G1850115,-87.312233,39.726135,1800
G1850135,-89.359413,37.759056,1800
G1850155,-89.867691,39.252121,1800
G1850315,-89.540131,44.649891,1800
G2100090,-85.847099,36.937744,1800
G2100150,-84.728516,38.955265,1800
G2100170,-84.206894,38.210419,1800
G2100230,-84.092262,38.677498,1800
G2100270,-86.479027,37.821915,1800
G2100290,-85.661514,37.969074,1800
G2100370,-84.45813,38.939091,1800
G2100470,-87.504448,36.873756,1800
G2100490,-84.069687,37.890102,1800
G2100570,-85.189156,36.767212,1800
G2100670,-84.458694,38.042259,1800
G2100690,-83.60479,38.31765,1800
G2100710,-82.853127,37.627144,1800
G2100730,-84.882072,38.22628,1800
G2100770,-85.039185,38.660007,1800
G2100790,-84.552101,37.661419,1800
G2100870,-85.303993,37.166714,1800
G2100930,-86.008148,37.584042,1800
G2100970,-84.337112,38.44228,1800
G2101010,-87.678482,37.555038,1800
