source_decade,county_fips_source,weight_type,weight_sum,zero_or_undefined_support
1970,02010,m5_weight,NA,TRUE
1970,02010,m6_weight,NA,TRUE
1970,02020,m5_weight,NA,TRUE
1970,02020,m6_weight,NA,TRUE
1970,02030,m5_weight,NA,TRUE
1970,02030,m6_weight,NA,TRUE
1970,02040,m5_weight,NA,TRUE
1970,02040,m6_weight,NA,TRUE
1970,02050,m5_weight,NA,TRUE
1970,02050,m6_weight,NA,TRUE
1970,02060,m5_weight,NA,TRUE
1970,02060,m6_weight,NA,TRUE
1970,02062,m5_weight,NA,TRUE
1970,02062,m6_weight,NA,TRUE
1970,02080,m5_weight,NA,TRUE
1970,02080,m6_weight,NA,TRUE
1970,02090,m5_weight,NA,TRUE
1970,02090,m6_weight,NA,TRUE
1970,02100,m5_weight,NA,TRUE
1970,02100,m6_weight,NA,TRUE
1970,02110,m5_weight,NA,TRUE
1970,02110,m6_weight,NA,TRUE
1970,02120,m5_weight,NA,TRUE
1970,02120,m6_weight,NA,TRUE
1970,02130,m5_weight,NA,TRUE
1970,02130,m6_weight,NA,TRUE
1970,02140,m5_weight,NA,TRUE
1970,02140,m6_weight,NA,TRUE
1970,02150,m5_weight,NA,TRUE
1970,02150,m6_weight,NA,TRUE
1970,02160,m5_weight,NA,TRUE
1970,02160,m6_weight,NA,TRUE
1970,02170,m5_weight,NA,TRUE
1970,02170,m6_weight,NA,TRUE
1970,02180,m5_weight,NA,TRUE
1970,02180,m6_weight,NA,TRUE
1970,02190,m5_weight,NA,TRUE
1970,02190,m6_weight,NA,TRUE
1970,02200,m5_weight,NA,TRUE
1970,02200,m6_weight,NA,TRUE
1970,02210,m5_weight,NA,TRUE
1970,02210,m6_weight,NA,TRUE
1970,02220,m5_weight,NA,TRUE
1970,02220,m6_weight,NA,TRUE
1970,02230,m5_weight,NA,TRUE
1970,02230,m6_weight,NA,TRUE
1970,02240,m5_weight,NA,TRUE
1970,02240,m6_weight,NA,TRUE
1970,02250,m5_weight,NA,TRUE
1970,02250,m6_weight,NA,TRUE
1970,02260,m5_weight,NA,TRUE
1970,02260,m6_weight,NA,TRUE
1970,02270,m5_weight,NA,TRUE
1970,02270,m6_weight,NA,TRUE
1970,02280,m5_weight,NA,TRUE
1970,02280,m6_weight,NA,TRUE
1970,02290,m5_weight,NA,TRUE
1970,02290,m6_weight,NA,TRUE
1970,05013,m5_weight,NA,TRUE
1970,05013,m6_weight,NA,TRUE
1970,05025,m5_weight,NA,TRUE
1970,05025,m6_weight,NA,TRUE
1970,05047,m5_weight,NA,TRUE
1970,05047,m6_weight,NA,TRUE
1970,05077,m5_weight,NA,TRUE
1970,05077,m6_weight,NA,TRUE
1970,05089,m5_weight,NA,TRUE
1970,05089,m6_weight,NA,TRUE
1970,06015,m5_weight,NA,TRUE
1970,06015,m6_weight,NA,TRUE
1970,06045,m5_weight,NA,TRUE
1970,06045,m6_weight,NA,TRUE
1970,08003,m5_weight,NA,TRUE
1970,08003,m6_weight,NA,TRUE
1970,08053,m5_weight,NA,TRUE
1970,08053,m6_weight,NA,TRUE
1970,15001,m5_weight,NA,TRUE
1970,15001,m6_weight,NA,TRUE
1970,15003,m5_weight,NA,TRUE
1970,15003,m6_weight,NA,TRUE
1970,15007,m5_weight,NA,TRUE
1970,15007,m6_weight,NA,TRUE
1970,15009,m5_weight,NA,TRUE
1970,15009,m6_weight,NA,TRUE
1970,16005,m5_weight,NA,TRUE
1970,16005,m6_weight,NA,TRUE
1970,16025,m5_weight,NA,TRUE
1970,16025,m6_weight,NA,TRUE
1970,16037,m5_weight,NA,TRUE
1970,16037,m6_weight,NA,TRUE
1970,16079,m5_weight,NA,TRUE
1970,16079,m6_weight,NA,TRUE
1970,17003,m5_weight,NA,TRUE
1970,17003,m6_weight,NA,TRUE
1970,17013,m5_weight,NA,TRUE
1970,17013,m6_weight,NA,TRUE
1970,17017,m5_weight,NA,TRUE
1970,17017,m6_weight,NA,TRUE
1970,17025,m5_weight,NA,TRUE
1970,17025,m6_weight,NA,TRUE
1970,17029,m5_weight,NA,TRUE
1970,17029,m6_weight,NA,TRUE
1970,17035,m5_weight,NA,TRUE
1970,17035,m6_weight,NA,TRUE
1970,17047,m5_weight,NA,TRUE
1970,17047,m6_weight,NA,TRUE
1970,17051,m5_weight,NA,TRUE
1970,17051,m6_weight,NA,TRUE
1970,17059,m5_weight,NA,TRUE
1970,17059,m6_weight,NA,TRUE
1970,17065,m5_weight,NA,TRUE
1970,17065,m6_weight,NA,TRUE
1970,17069,m5_weight,NA,TRUE
1970,17069,m6_weight,NA,TRUE
1970,17079,m5_weight,NA,TRUE
1970,17079,m6_weight,NA,TRUE
1970,17125,m5_weight,NA,TRUE
1970,17125,m6_weight,NA,TRUE
1970,17127,m5_weight,NA,TRUE
1970,17127,m6_weight,NA,TRUE
1970,17129,m5_weight,NA,TRUE
1970,17129,m6_weight,NA,TRUE
1970,17151,m5_weight,NA,TRUE
1970,17151,m6_weight,NA,TRUE
1970,17159,m5_weight,NA,TRUE
1970,17159,m6_weight,NA,TRUE
1970,17175,m5_weight,NA,TRUE
1970,17175,m6_weight,NA,TRUE
1970,17181,m5_weight,NA,TRUE
1970,17181,m6_weight,NA,TRUE
1970,17185,m5_weight,NA,TRUE
1970,17185,m6_weight,NA,TRUE
1970,17189,m5_weight,NA,TRUE
1970,17189,m6_weight,NA,TRUE
1970,17191,m5_weight,NA,TRUE
1970,17191,m6_weight,NA,TRUE
1970,17193,m5_weight,NA,TRUE
1970,17193,m6_weight,NA,TRUE
1970,19021,m5_weight,NA,TRUE
1970,19021,m6_weight,NA,TRUE
1970,19077,m5_weight,NA,TRUE
1970,19077,m6_weight,NA,TRUE
1970,19111,m5_weight,NA,TRUE
1970,19111,m6_weight,NA,TRUE
1970,19177,m5_weight,NA,TRUE
1970,19177,m6_weight,NA,TRUE
1970,21025,m5_weight,NA,TRUE
1970,21025,m6_weight,NA,TRUE
1970,21085,m5_weight,NA,TRUE
1970,21085,m6_weight,NA,TRUE
1970,21109,m5_weight,NA,TRUE
1970,21109,m6_weight,NA,TRUE
1970,21119,m5_weight,NA,TRUE
1970,21119,m6_weight,NA,TRUE
1970,21129,m5_weight,NA,TRUE
1970,21129,m6_weight,NA,TRUE
1970,21189,m5_weight,NA,TRUE
1970,21189,m6_weight,NA,TRUE
1970,21221,m5_weight,NA,TRUE
1970,21221,m6_weight,NA,TRUE
1970,22001,m5_weight,NA,TRUE
1970,22001,m6_weight,NA,TRUE
1970,22003,m5_weight,NA,TRUE
1970,22003,m6_weight,NA,TRUE
1970,22005,m5_weight,NA,TRUE
1970,22005,m6_weight,NA,TRUE
1970,22007,m5_weight,NA,TRUE
1970,22007,m6_weight,NA,TRUE
1970,22009,m5_weight,NA,TRUE
1970,22009,m6_weight,NA,TRUE
1970,22011,m5_weight,NA,TRUE
1970,22011,m6_weight,NA,TRUE
1970,22013,m5_weight,NA,TRUE
1970,22013,m6_weight,NA,TRUE
1970,22019,m5_weight,NA,TRUE
1970,22019,m6_weight,NA,TRUE
1970,22023,m5_weight,NA,TRUE
1970,22023,m6_weight,NA,TRUE
1970,22025,m5_weight,NA,TRUE
1970,22025,m6_weight,NA,TRUE
1970,22027,m5_weight,NA,TRUE
1970,22027,m6_weight,NA,TRUE
1970,22029,m5_weight,NA,TRUE
1970,22029,m6_weight,NA,TRUE
1970,22037,m5_weight,NA,TRUE
1970,22037,m6_weight,NA,TRUE
1970,22039,m5_weight,NA,TRUE
1970,22039,m6_weight,NA,TRUE
1970,22041,m5_weight,NA,TRUE
1970,22041,m6_weight,NA,TRUE
1970,22047,m5_weight,NA,TRUE
1970,22047,m6_weight,NA,TRUE
1970,22053,m5_weight,NA,TRUE
1970,22053,m6_weight,NA,TRUE
1970,22055,m5_weight,NA,TRUE
1970,22055,m6_weight,NA,TRUE
1970,22059,m5_weight,NA,TRUE
1970,22059,m6_weight,NA,TRUE
1970,22063,m5_weight,NA,TRUE
1970,22063,m6_weight,NA,TRUE
1970,22065,m5_weight,NA,TRUE
1970,22065,m6_weight,NA,TRUE
1970,22069,m5_weight,NA,TRUE
1970,22069,m6_weight,NA,TRUE
1970,22071,m5_weight,NA,TRUE
1970,22071,m6_weight,NA,TRUE
1970,22077,m5_weight,NA,TRUE
1970,22077,m6_weight,NA,TRUE
1970,22085,m5_weight,NA,TRUE
1970,22085,m6_weight,NA,TRUE
1970,22091,m5_weight,NA,TRUE
1970,22091,m6_weight,NA,TRUE
1970,22093,m5_weight,NA,TRUE
1970,22093,m6_weight,NA,TRUE
1970,22099,m5_weight,NA,TRUE
1970,22099,m6_weight,NA,TRUE
1970,22101,m5_weight,NA,TRUE
1970,22101,m6_weight,NA,TRUE
1970,22107,m5_weight,NA,TRUE
1970,22107,m6_weight,NA,TRUE
1970,22109,m5_weight,NA,TRUE
1970,22109,m6_weight,NA,TRUE
1970,22113,m5_weight,NA,TRUE
1970,22113,m6_weight,NA,TRUE
1970,22115,m5_weight,NA,TRUE
1970,22115,m6_weight,NA,TRUE
1970,22117,m5_weight,NA,TRUE
1970,22117,m6_weight,NA,TRUE
1970,22125,m5_weight,NA,TRUE
1970,22125,m6_weight,NA,TRUE
1970,22127,m5_weight,NA,TRUE
1970,22127,m6_weight,NA,TRUE
1970,26001,m5_weight,NA,TRUE
1970,26001,m6_weight,NA,TRUE
1970,26003,m5_weight,NA,TRUE
1970,26003,m6_weight,NA,TRUE
1970,26007,m5_weight,NA,TRUE
1970,26007,m6_weight,NA,TRUE
1970,26009,m5_weight,NA,TRUE
1970,26009,m6_weight,NA,TRUE
1970,26011,m5_weight,NA,TRUE
1970,26011,m6_weight,NA,TRUE
1970,26033,m5_weight,NA,TRUE
1970,26033,m6_weight,NA,TRUE
1970,26035,m5_weight,NA,TRUE
1970,26035,m6_weight,NA,TRUE
1970,26039,m5_weight,NA,TRUE
1970,26039,m6_weight,NA,TRUE
1970,26053,m5_weight,NA,TRUE
1970,26053,m6_weight,NA,TRUE
1970,26063,m5_weight,NA,TRUE
1970,26063,m6_weight,NA,TRUE
1970,26069,m5_weight,NA,TRUE
1970,26069,m6_weight,NA,TRUE
1970,26071,m5_weight,NA,TRUE
1970,26071,m6_weight,NA,TRUE
1970,26073,m5_weight,NA,TRUE
1970,26073,m6_weight,NA,TRUE
1970,26085,m5_weight,NA,TRUE
1970,26085,m6_weight,NA,TRUE
1970,26095,m5_weight,NA,TRUE
1970,26095,m6_weight,NA,TRUE
1970,26097,m5_weight,NA,TRUE
1970,26097,m6_weight,NA,TRUE
1970,26105,m5_weight,NA,TRUE
1970,26105,m6_weight,NA,TRUE
1970,26107,m5_weight,NA,TRUE
1970,26107,m6_weight,NA,TRUE
1970,26113,m5_weight,NA,TRUE
1970,26113,m6_weight,NA,TRUE
1970,26119,m5_weight,NA,TRUE
1970,26119,m6_weight,NA,TRUE
1970,26129,m5_weight,NA,TRUE
1970,26129,m6_weight,NA,TRUE
1970,26131,m5_weight,NA,TRUE
1970,26131,m6_weight,NA,TRUE
1970,26133,m5_weight,NA,TRUE
1970,26133,m6_weight,NA,TRUE
1970,26135,m5_weight,NA,TRUE
1970,26135,m6_weight,NA,TRUE
1970,26137,m5_weight,NA,TRUE
1970,26137,m6_weight,NA,TRUE
