year,scope,rep_votes,dem_votes,twoparty_votes,total_votes,source_counties
1952,pre_bridge,33775055,26881835,60656890,61743476,3098
1956,pre_bridge,35594797,26024153,61618950,62281440,3100
1960,pre_bridge,34061318,34175956,68237274,69056710,3105
1964,pre_bridge,27154933,43292937,70447870,70922488,3107
1968,pre_bridge,31752894,31421880,63174774,73427831,3111
1972,pre_bridge,47107388,29134942,76242330,78056792,3110
1976,pre_bridge,39077078,40787823,79864901,81837149,3113
1980,pre_bridge,43817090,35438230,79255320,86773330,3112
1984,pre_bridge,54318945,37514326,91833271,92924387,3114
1988,pre_bridge,48767346,41736892,90504238,91866065,3114
1992,pre_bridge,39002574,44831560,83834134,104478482,3115
1996,pre_bridge,39076022,47319791,86395813,96410283,3114
2000,pre_bridge,50294999,50930792,101225791,105604025,3114
2004,pre_bridge,61848622,58915743,120764365,122524627,3114
2008,pre_bridge,59756352,69375087,129131439,131696306,3114
2012,pre_bridge,60757548,65771195,126528743,129408531,3114
2016,pre_bridge,62508031,65097810,127605841,135902702,3113
2020,pre_bridge,74018305,81111612,155129917,158042235,3113
1952,post_bridge,33763504.00583807,26869666.003632274,60633170.00947033,61719714.00980599,3093
1956,post_bridge,35582294.00741474,26011092.00387093,61593386.01128567,62255087.01149349,3096
1960,post_bridge,33957123.00782522,34069053.00606425,68026176.01388946,68845476.01392147,3097
1964,post_bridge,27108914.00675633,43127559.00866618,70236473.01542254,70711091.01545699,3102
1968,post_bridge,31658300.009171724,31278786.00604944,62937086.01522114,73186012.01708683,3106
1972,post_bridge,46938523.013584755,29033533.00619861,75972056.01978329,77786518.02010103,3106
1976,post_bridge,38937075.01203995,40640448.00954746,79577523.02158737,81545848.02198541,3109
1980,post_bridge,43687005.008251555,35302373.004738204,78989378.01298973,86470102.01483525,3108
1984,post_bridge,54133946.01050729,37367188.00633882,91501134.0168461,92588608.0169718,3110
1988,post_bridge,48608721.010214746,41544528.00771007,90153249.01792479,91511604.01814443,3110
1992,post_bridge,39002574,44831560,83834134,104478482,3115
1996,post_bridge,39076022,47319791,86395813,96410283,3114
2000,post_bridge,50157168.99629475,50725519.992899835,100882688.98919457,105236108.98862685,3109
2004,post_bridge,61654491.99608609,58684381.99122491,120338873.98731096,122096031.9871661,3109
2008,post_bridge,59635915.996565476,69049861.9898046,128685777.98637007,131243531.986162,3109
2012,post_bridge,60636609.057550944,65464904.12213369,126101513.17968439,128974283.19422355,3109
2016,post_bridge,62379183.04826764,64830905.137647614,127210088.18591501,135473745.20578024,3108
2020,post_bridge,73821439.99542397,80745458.98202218,154566898.97744614,157467741.97682565,3108
