source,outcome,spec,status,n_obs,note
adhm2020_house_2002_2016,d2_rwin_2002_2016,minimal,ok,722,NA
adhm2020_house_2002_2016,d2_rwin_2002_2016,core_controls,ok,722,NA
adhm2020_house_2002_2016,d2_rwin_2002_2016,full_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_repcon_2002_2016,minimal,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_repcon_2002_2016,core_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_repcon_2002_2016,full_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_repmod_2002_2016,minimal,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_repmod_2002_2016,core_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_repmod_2002_2016,full_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_demmod_2002_2016,minimal,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_demmod_2002_2016,core_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_demmod_2002_2016,full_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_demlib_2002_2016,minimal,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_demlib_2002_2016,core_controls,ok,722,NA
adhm2020_house_2002_2016,d2_cfavg_demlib_2002_2016,full_controls,ok,722,NA
adhm2020_house_2002_2016,d2_teaparty_2002_2010,minimal,ok,722,NA
adhm2020_house_2002_2016,d2_teaparty_2002_2010,core_controls,ok,722,NA
adhm2020_house_2002_2016,d2_teaparty_2002_2010,full_controls,ok,722,NA
adhm2020_president_2000_2016,d_shnr_pres_2000_2016,minimal,ok,722,NA
adhm2020_president_2000_2016,d_shnr_pres_2000_2016,core_controls,ok,722,NA
adhm2020_president_2000_2016,d_shnr_pres_2000_2016,full_controls,ok,722,NA
adhm2020_president_2000_2016,d_shnr_pres_2000_2008,minimal,ok,722,NA
adhm2020_president_2000_2016,d_shnr_pres_2000_2008,core_controls,ok,722,NA
adhm2020_president_2000_2016,d_shnr_pres_2000_2008,full_controls,ok,722,NA
