control_1,control_2,correlation
l_shind_manuf_cbp,l_shind_manuf_cbp,1
l_sh_popedu_c,l_shind_manuf_cbp,-0.4408607058943004
l_sh_popfborn,l_shind_manuf_cbp,-0.2513680153650625
l_sh_empl_f,l_shind_manuf_cbp,0.023593856059063768
l_sh_routine33,l_shind_manuf_cbp,0.40848974747949496
l_task_outsource,l_shind_manuf_cbp,0.32265950590647074
l_shind_manuf_cbp,l_sh_popedu_c,-0.4408607058943004
l_sh_popedu_c,l_sh_popedu_c,1
l_sh_popfborn,l_sh_popedu_c,0.2013872169329604
l_sh_empl_f,l_sh_popedu_c,0.5521698115679932
l_sh_routine33,l_sh_popedu_c,0.13915707987743248
l_task_outsource,l_sh_popedu_c,0.23634177258906391
l_shind_manuf_cbp,l_sh_popfborn,-0.2513680153650625
l_sh_popedu_c,l_sh_popfborn,0.2013872169329604
l_sh_popfborn,l_sh_popfborn,1
l_sh_empl_f,l_sh_popfborn,-0.16639565373065343
l_sh_routine33,l_sh_popfborn,0.08391851345932066
l_task_outsource,l_sh_popfborn,0.22352061091510075
l_shind_manuf_cbp,l_sh_empl_f,0.023593856059063768
l_sh_popedu_c,l_sh_empl_f,0.5521698115679932
l_sh_popfborn,l_sh_empl_f,-0.16639565373065343
l_sh_empl_f,l_sh_empl_f,1
l_sh_routine33,l_sh_empl_f,0.31401800270699126
l_task_outsource,l_sh_empl_f,0.4302816671150939
l_shind_manuf_cbp,l_sh_routine33,0.40848974747949496
l_sh_popedu_c,l_sh_routine33,0.13915707987743248
l_sh_popfborn,l_sh_routine33,0.08391851345932066
l_sh_empl_f,l_sh_routine33,0.31401800270699126
l_sh_routine33,l_sh_routine33,1
l_task_outsource,l_sh_routine33,0.767794084947105
l_shind_manuf_cbp,l_task_outsource,0.32265950590647074
l_sh_popedu_c,l_task_outsource,0.23634177258906391
l_sh_popfborn,l_task_outsource,0.22352061091510075
l_sh_empl_f,l_task_outsource,0.4302816671150939
l_sh_routine33,l_task_outsource,0.767794084947105
l_task_outsource,l_task_outsource,1
