year,source_scope,source_counties,source_two_party_votes_prejoin,matched_source_counties,bridged_two_party_votes,fallback_source_counties,unmatched_source_counties,retained_vote_share
1952,adh_mainland_eligible,3098,60656890,3093,60633169.995112084,11,5,0.9996089478888892
1956,adh_mainland_eligible,3100,61618950,3096,61593385.99333483,11,4,0.9995851275189667
1960,adh_mainland_eligible,3101,68052569,3097,68026175.98981644,11,4,0.999612167320479
1960,excluded_nonmainland,4,184705,0,0,0,4,0
1964,adh_mainland_eligible,3103,70240599,3102,70236472.98714927,11,1,0.9999412588601254
1964,excluded_nonmainland,4,207271,0,0,0,4,0
1968,adh_mainland_eligible,3107,62942025,3106,62937085.98476351,11,1,0.9999215307223355
1968,excluded_nonmainland,4,232749,0,0,0,4,0
1972,adh_mainland_eligible,3106,75972056,3106,75972055.98124263,11,0,0.9999999997531017
1972,excluded_nonmainland,4,270274,0,0,0,4,0
1976,adh_mainland_eligible,3109,79577523,3109,79577522.98273447,11,0,0.9999999997830351
1976,excluded_nonmainland,4,287378,0,0,0,4,0
1980,adh_mainland_eligible,3108,78989378,3108,78989377.98039709,10,0,0.9999999997518285
1980,excluded_nonmainland,4,265942,0,0,0,4,0
1984,adh_mainland_eligible,3110,91501134,3110,91501133.97665808,10,0,0.9999999997449002
1984,excluded_nonmainland,4,332137,0,0,0,4,0
1988,adh_mainland_eligible,3110,90153249,3110,90153248.97737442,10,0,0.999999999749032
1988,excluded_nonmainland,4,350989,0,0,0,4,0
1992,adh_mainland_eligible,3110,83517930,3110,83517930,0,0,1
1992,excluded_nonmainland,5,316204,5,316204,0,0,1
1996,adh_mainland_eligible,3109,86076799,3109,86076799,0,0,1
1996,excluded_nonmainland,5,319014,5,319014,0,0,1
2000,adh_mainland_eligible,3109,100882689,3109,100882689.02172706,10,0,1.0000000002153695
2000,excluded_nonmainland,5,343102,0,0,0,5,0
2004,adh_mainland_eligible,3109,120338874,3109,120338874.02482148,10,0,1.0000000002062632
2004,excluded_nonmainland,5,425491,0,0,0,5,0
2008,adh_mainland_eligible,3109,128685778,3109,128685778.02620909,10,0,1.0000000002036673
2008,excluded_nonmainland,5,445661,0,0,0,5,0
2012,adh_mainland_eligible,3109,126101513,3109,126101512.87183616,9,0,0.9999999989836454
2012,excluded_nonmainland,5,427230,0,0,0,5,0
2016,adh_mainland_eligible,3108,127210088,3108,127210087.86700137,9,0,0.9999999989544962
2016,excluded_nonmainland,5,395753,0,0,0,5,0
2020,adh_mainland_eligible,3108,154566899,3108,154566898.74451277,7,0,0.9999999983470766
2020,excluded_nonmainland,5,563018,0,0,0,5,0
