year,source_counties,source_two_party_votes_prejoin,source_rep_votes_prejoin,source_dem_votes_prejoin,source_two_party_votes_after_join_naive_for_diagnostic_only,matched_source_counties,bridged_two_party_votes,bridged_rep_votes,bridged_dem_votes,fallback_source_counties,source_two_party_votes_prejoin_adh_mainland_eligible,source_two_party_votes_prejoin_excluded_nonmainland,bridged_two_party_votes_adh_mainland_eligible,bridged_two_party_votes_excluded_nonmainland,retained_vote_share_adh_mainland_eligible,retained_vote_share_excluded_nonmainland,unmatched_source_counties,retained_vote_share_correct,retained_vote_share
1952,3098,60656890,33775055,26881835,95719056,3093,60633169.995112084,33763503.996549934,26869665.998562116,11,60656890,NA,60633169.995112084,NA,0.9996089478888892,NA,5,0.9996089478888892,0.9996089478888892
1956,3100,61618950,35594797,26024153,96980232,3096,61593385.99333483,35582293.99536562,26011091.997969232,11,61618950,NA,61593385.99333483,NA,0.9995851275189667,NA,4,0.9995851275189667,0.9995851275189667
1960,3105,68237274,34061318,34175956,107418772,3097,68026175.98981644,33957122.99330635,34069052.99651006,11,68052569,184705,68026175.98981644,0,0.999612167320479,0,8,0.9969064120266065,0.9969064120266065
1964,3107,70447870,27154933,43292937,111760560,3102,70236472.98714927,27108913.99078001,43127558.99636926,11,70240599,207271,70236472.98714927,0,0.9999412588601254,0,5,0.9969992419522303,0.9969992419522303
1968,3111,63174774,31752894,31421880,100227787,3106,62937085.98476351,31658299.988137722,31278785.996625796,11,62942025,232749,62937085.98476351,0,0.9999215307223355,0,5,0.9962376119424425,0.9962376119424425
1972,3110,76242330,47107388,29134942,122051255,3106,75972055.98124263,46938522.98507244,29033532.996170208,11,75972056,270274,75972055.98124263,0,0.9999999997531017,0,4,0.9964550661193411,0.9964550661193411
1976,3113,79864901,39077078,40787823,129433417,3109,79577522.98273447,38937074.98676909,40640447.9959654,11,79577523,287378,79577522.98273447,0,0.9999999997830351,0,4,0.9964016981969899,0.9964016981969899
1980,3112,79255320,43817090,35438230,129097058,3108,78989377.98039709,43687004.98747128,35302372.992925815,10,78989378,265942,78989377.98039709,0,0.9999999997518285,0,4,0.9966444899900359,0.9966444899900359
1984,3114,91833271,54318945,37514326,148606758,3110,91501133.97665808,54133945.9850516,37367187.991606504,10,91501134,332137,91501133.97665808,0,0.9999999997449002,0,4,0.9963832604487983,0.9963832604487983
1988,3114,90504238,48767346,41736892,146252865,3110,90153248.97737442,48608720.98832272,41544527.98905169,10,90153249,350989,90153248.97737442,0,0.999999999749032,0,4,0.9961218498671236,0.9961218498671236
1992,3115,83834134,39002574,44831560,83834134,3115,83834134,39002574,44831560,0,83517930,316204,83517930,316204,1,1,0,1,1
1996,3114,86395813,39076022,47319791,86395813,3114,86395813,39076022,47319791,0,86076799,319014,86076799,319014,1,1,0,1,1
2000,3114,101225791,50294999,50930792,164542091,3109,100882689.02172706,50157169.016032256,50725520.00569474,10,100882689,343102,100882689.02172706,0,1.0000000002153695,0,5,0.9966105280592675,0.9966105280592675
2004,3114,120764365,61848622,58915743,196356425,3109,120338874.02482148,61654492.019570746,58684382.00525075,10,120338874,425491,120338874.02482148,0,1.0000000002062632,0,5,0.9964766843664642,0.9964766843664642
2008,3114,129131439,59756352,69375087,210100169,3109,128685778.02620909,59635916.01758612,69049862.00862297,10,128685778,445661,128685778.02620909,0,1.0000000002036673,0,5,0.9965487802409535,0.9965487802409535
2012,3114,126528743,60757548,65771195,793718543,3109,126101512.87183616,60636608.943904184,65464903.927932195,9,126101513,427230,126101512.87183616,0,0.9999999989836454,0,5,0.9966234539438692,0.9966234539438692
2016,3113,127605841,62508031,65097810,800003942,3108,127210087.86700137,62379182.95529005,64830904.91171166,9,127210088,395753,127210087.86700137,0,0.9999999989544962,0,5,0.9968986283864653,0.9968986283864653
2020,3113,155129917,74018305,81111612,973847816,3108,154566898.74451277,73821439.91255412,80745458.83195885,7,154566899,563018,154566898.74451277,0,0.9999999983470766,0,5,0.9963706661721012,0.9963706661721012
