year,source_scope,source_counties,source_two_party_votes_prejoin,matched_source_counties,bridged_two_party_votes,fallback_source_counties,unmatched_source_counties,retained_vote_share
1952,adh_mainland_eligible,3098,60656890,3082,60613960.995112084,0,16,0.9992922649860895
1956,adh_mainland_eligible,3100,61618950,3085,61575240.99333483,0,15,0.9992906564187612
1960,adh_mainland_eligible,3101,68052569,3086,68007497.98981644,0,15,0.9993377030309678
1960,excluded_nonmainland,4,184705,0,0,0,4,0
1964,adh_mainland_eligible,3103,70240599,3091,70218425.98714927,0,12,0.9996843276799116
1964,excluded_nonmainland,4,207271,0,0,0,4,0
1968,adh_mainland_eligible,3107,62942025,3095,62922027.98476351,0,12,0.9996822946952137
1968,excluded_nonmainland,4,232749,0,0,0,4,0
1972,adh_mainland_eligible,3106,75972056,3095,75955435.98124263,0,11,0.9997812351062689
1972,excluded_nonmainland,4,270274,0,0,0,4,0
1976,adh_mainland_eligible,3109,79577523,3098,79560430.98273447,0,11,0.999785215515372
1976,excluded_nonmainland,4,287378,0,0,0,4,0
1980,adh_mainland_eligible,3108,78989378,3098,78973294.98039709,0,10,0.9997963900968696
1980,excluded_nonmainland,4,265942,0,0,0,4,0
1984,adh_mainland_eligible,3110,91501134,3100,91484383.97665808,0,10,0.9998169419043273
1984,excluded_nonmainland,4,332137,0,0,0,4,0
1988,adh_mainland_eligible,3110,90153249,3100,90137966.97737442,0,10,0.9998304883873284
1988,excluded_nonmainland,4,350989,0,0,0,4,0
1992,adh_mainland_eligible,3110,83517930,3110,83517930,0,0,1
1992,excluded_nonmainland,5,316204,5,316204,0,0,1
1996,adh_mainland_eligible,3109,86076799,3109,86076799,0,0,1
1996,excluded_nonmainland,5,319014,5,319014,0,0,1
2000,adh_mainland_eligible,3109,100882689,3099,100869294.02172706,0,10,0.999867222232023
2000,excluded_nonmainland,5,343102,0,0,0,5,0
2004,adh_mainland_eligible,3109,120338874,3099,120323900.02482148,0,10,0.9998755682625173
2004,excluded_nonmainland,5,425491,0,0,0,5,0
2008,adh_mainland_eligible,3109,128685778,3099,128671995.02620909,0,10,0.9998928943508356
2008,excluded_nonmainland,5,445661,0,0,0,5,0
2012,adh_mainland_eligible,3109,126101513,3100,126089386.8719061,0,9,0.9999038383616071
2012,excluded_nonmainland,5,427230,0,0,0,5,0
2016,adh_mainland_eligible,3108,127210088,3099,127198927.86706889,0,9,0.9999122700635887
2016,excluded_nonmainland,5,395753,0,0,0,5,0
2020,adh_mainland_eligible,3108,154566899,3101,154556357.74458018,0,7,0.9999318013398211
2020,excluded_nonmainland,5,563018,0,0,0,5,0
