sample,spec,control,requested,standardize_controls,model_control,status
main_1972_start,minimal_full_panel,l_shind_manuf_cbp,FALSE,FALSE,NA,omitted_from_spec
main_1972_start,minimal_full_panel,l_sh_popedu_c,FALSE,FALSE,NA,omitted_from_spec
main_1972_start,minimal_full_panel,l_sh_popfborn,FALSE,FALSE,NA,omitted_from_spec
main_1972_start,minimal_full_panel,l_sh_empl_f,FALSE,FALSE,NA,omitted_from_spec
main_1972_start,minimal_full_panel,l_sh_routine33,FALSE,FALSE,NA,omitted_from_spec
main_1972_start,minimal_full_panel,l_task_outsource,FALSE,FALSE,NA,omitted_from_spec
main_1972_start,interacted_core_controls_diagnostic,l_shind_manuf_cbp,TRUE,TRUE,l_shind_manuf_cbp,included
main_1972_start,interacted_core_controls_diagnostic,l_sh_popedu_c,TRUE,TRUE,l_sh_popedu_c,included
main_1972_start,interacted_core_controls_diagnostic,l_sh_popfborn,TRUE,TRUE,l_sh_popfborn,included
main_1972_start,interacted_core_controls_diagnostic,l_sh_empl_f,FALSE,TRUE,NA,omitted_from_spec
main_1972_start,interacted_core_controls_diagnostic,l_sh_routine33,FALSE,TRUE,NA,omitted_from_spec
main_1972_start,interacted_core_controls_diagnostic,l_task_outsource,FALSE,TRUE,NA,omitted_from_spec
main_1972_start,interacted_controls_full_panel,l_shind_manuf_cbp,TRUE,TRUE,l_shind_manuf_cbp,included
main_1972_start,interacted_controls_full_panel,l_sh_popedu_c,TRUE,TRUE,l_sh_popedu_c,included
main_1972_start,interacted_controls_full_panel,l_sh_popfborn,TRUE,TRUE,l_sh_popfborn,included
main_1972_start,interacted_controls_full_panel,l_sh_empl_f,TRUE,TRUE,l_sh_empl_f,included
main_1972_start,interacted_controls_full_panel,l_sh_routine33,TRUE,TRUE,l_sh_routine33,included
main_1972_start,interacted_controls_full_panel,l_task_outsource,TRUE,TRUE,l_task_outsource,included
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,l_shind_manuf_cbp,TRUE,FALSE,l_shind_manuf_cbp,included
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_popedu_c,TRUE,FALSE,l_sh_popedu_c,included
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_popfborn,TRUE,FALSE,l_sh_popfborn,included
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_empl_f,TRUE,FALSE,l_sh_empl_f,included
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_routine33,TRUE,FALSE,l_sh_routine33,included
main_1972_start,interacted_controls_full_panel_raw_controls_diagnostic,l_task_outsource,TRUE,FALSE,l_task_outsource,included
diagnostic_1952_start,minimal_full_panel,l_shind_manuf_cbp,FALSE,FALSE,NA,omitted_from_spec
diagnostic_1952_start,minimal_full_panel,l_sh_popedu_c,FALSE,FALSE,NA,omitted_from_spec
diagnostic_1952_start,minimal_full_panel,l_sh_popfborn,FALSE,FALSE,NA,omitted_from_spec
diagnostic_1952_start,minimal_full_panel,l_sh_empl_f,FALSE,FALSE,NA,omitted_from_spec
diagnostic_1952_start,minimal_full_panel,l_sh_routine33,FALSE,FALSE,NA,omitted_from_spec
diagnostic_1952_start,minimal_full_panel,l_task_outsource,FALSE,FALSE,NA,omitted_from_spec
diagnostic_1952_start,interacted_core_controls_diagnostic,l_shind_manuf_cbp,TRUE,TRUE,l_shind_manuf_cbp,included
diagnostic_1952_start,interacted_core_controls_diagnostic,l_sh_popedu_c,TRUE,TRUE,l_sh_popedu_c,included
diagnostic_1952_start,interacted_core_controls_diagnostic,l_sh_popfborn,TRUE,TRUE,l_sh_popfborn,included
diagnostic_1952_start,interacted_core_controls_diagnostic,l_sh_empl_f,FALSE,TRUE,NA,omitted_from_spec
diagnostic_1952_start,interacted_core_controls_diagnostic,l_sh_routine33,FALSE,TRUE,NA,omitted_from_spec
diagnostic_1952_start,interacted_core_controls_diagnostic,l_task_outsource,FALSE,TRUE,NA,omitted_from_spec
diagnostic_1952_start,interacted_controls_full_panel,l_shind_manuf_cbp,TRUE,TRUE,l_shind_manuf_cbp,included
diagnostic_1952_start,interacted_controls_full_panel,l_sh_popedu_c,TRUE,TRUE,l_sh_popedu_c,included
diagnostic_1952_start,interacted_controls_full_panel,l_sh_popfborn,TRUE,TRUE,l_sh_popfborn,included
diagnostic_1952_start,interacted_controls_full_panel,l_sh_empl_f,TRUE,TRUE,l_sh_empl_f,included
diagnostic_1952_start,interacted_controls_full_panel,l_sh_routine33,TRUE,TRUE,l_sh_routine33,included
diagnostic_1952_start,interacted_controls_full_panel,l_task_outsource,TRUE,TRUE,l_task_outsource,included
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,l_shind_manuf_cbp,TRUE,FALSE,l_shind_manuf_cbp,included
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_popedu_c,TRUE,FALSE,l_sh_popedu_c,included
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_popfborn,TRUE,FALSE,l_sh_popfborn,included
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_empl_f,TRUE,FALSE,l_sh_empl_f,included
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,l_sh_routine33,TRUE,FALSE,l_sh_routine33,included
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,l_task_outsource,TRUE,FALSE,l_task_outsource,included
