sample,spec,se_type,eigen_index,eigenvalue
main_1972_start,minimal_full_panel,heteroskedastic,1,6.80697477552144e-5
main_1972_start,minimal_full_panel,heteroskedastic,2,2.818899521022045e-5
main_1972_start,minimal_full_panel,heteroskedastic,3,2.751315066728516e-5
main_1972_start,minimal_full_panel,heteroskedastic,4,2.3382837046660955e-5
main_1972_start,minimal_full_panel,heteroskedastic,5,1.6720088212311407e-5
main_1972_start,minimal_full_panel,heteroskedastic,6,9.254158346265936e-6
main_1972_start,minimal_full_panel,heteroskedastic,7,5.90396181801227e-6
main_1972_start,minimal_full_panel,heteroskedastic,8,5.4706915599793755e-6
main_1972_start,minimal_full_panel,heteroskedastic,9,4.338288309668574e-6
main_1972_start,minimal_full_panel,heteroskedastic,10,3.28009769866379e-6
main_1972_start,minimal_full_panel,heteroskedastic,11,2.970622243569149e-6
main_1972_start,minimal_full_panel,heteroskedastic,12,2.2323888029852207e-6
main_1972_start,minimal_full_panel,cluster_cz,1,1.5644739419305124e-4
main_1972_start,minimal_full_panel,cluster_cz,2,1.8352110150264645e-5
main_1972_start,minimal_full_panel,cluster_cz,3,7.943039764253058e-6
main_1972_start,minimal_full_panel,cluster_cz,4,3.3316464711487544e-6
main_1972_start,minimal_full_panel,cluster_cz,5,1.3835598389706978e-6
main_1972_start,minimal_full_panel,cluster_cz,6,1.115217832012537e-6
main_1972_start,minimal_full_panel,cluster_cz,7,8.438541896549866e-7
main_1972_start,minimal_full_panel,cluster_cz,8,5.235930412407054e-7
main_1972_start,minimal_full_panel,cluster_cz,9,2.7329093290714526e-7
main_1972_start,minimal_full_panel,cluster_cz,10,1.9362271615362858e-7
main_1972_start,minimal_full_panel,cluster_cz,11,1.6585079441590322e-7
main_1972_start,minimal_full_panel,cluster_cz,12,8.844430936487922e-8
main_1972_start,minimal_full_panel,cluster_state,1,2.73218049621074e-4
main_1972_start,minimal_full_panel,cluster_state,2,2.5656589990123244e-5
main_1972_start,minimal_full_panel,cluster_state,3,1.3024943338864054e-5
main_1972_start,minimal_full_panel,cluster_state,4,6.384862438244626e-6
main_1972_start,minimal_full_panel,cluster_state,5,2.57269613102744e-6
main_1972_start,minimal_full_panel,cluster_state,6,1.977949273717238e-6
main_1972_start,minimal_full_panel,cluster_state,7,1.2239702521401352e-6
main_1972_start,minimal_full_panel,cluster_state,8,6.043139360905396e-7
main_1972_start,minimal_full_panel,cluster_state,9,3.451470122527287e-7
main_1972_start,minimal_full_panel,cluster_state,10,2.509817718524323e-7
main_1972_start,minimal_full_panel,cluster_state,11,8.80222229821416e-8
main_1972_start,minimal_full_panel,cluster_state,12,6.244037640557328e-8
main_1972_start,minimal_full_panel,cluster_cz_year,1,1.367403099385562e-4
main_1972_start,minimal_full_panel,cluster_cz_year,2,2.6061161369022735e-6
main_1972_start,minimal_full_panel,cluster_cz_year,3,-1.5726362668533715e-6
main_1972_start,minimal_full_panel,cluster_cz_year,4,-2.2901553631484384e-6
main_1972_start,minimal_full_panel,cluster_cz_year,5,-2.8512045128975586e-6
main_1972_start,minimal_full_panel,cluster_cz_year,6,-3.0815475029196993e-6
main_1972_start,minimal_full_panel,cluster_cz_year,7,-6.7428891048333395e-6
main_1972_start,minimal_full_panel,cluster_cz_year,8,-9.242474158419561e-6
main_1972_start,minimal_full_panel,cluster_cz_year,9,-1.3356352410196684e-5
main_1972_start,minimal_full_panel,cluster_cz_year,10,-2.4696209262461325e-5
main_1972_start,minimal_full_panel,cluster_cz_year,11,-2.6261525122937658e-5
main_1972_start,minimal_full_panel,cluster_cz_year,12,-4.028184525402244e-5
main_1972_start,minimal_full_panel,newey_west_lag1,1,8.17767575413636e-5
main_1972_start,minimal_full_panel,newey_west_lag1,2,4.34874812473233e-5
main_1972_start,minimal_full_panel,newey_west_lag1,3,2.156616300284179e-5
main_1972_start,minimal_full_panel,newey_west_lag1,4,1.7270331658394578e-5
main_1972_start,minimal_full_panel,newey_west_lag1,5,1.638364120562436e-5
main_1972_start,minimal_full_panel,newey_west_lag1,6,7.715508553601655e-6
main_1972_start,minimal_full_panel,newey_west_lag1,7,5.299566240059713e-6
main_1972_start,minimal_full_panel,newey_west_lag1,8,4.009874059486992e-6
main_1972_start,minimal_full_panel,newey_west_lag1,9,3.370243878112993e-6
main_1972_start,minimal_full_panel,newey_west_lag1,10,2.737265039469477e-6
main_1972_start,minimal_full_panel,newey_west_lag1,11,1.7284425302205675e-6
main_1972_start,minimal_full_panel,newey_west_lag1,12,1.2362021098494714e-6
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,1,3.680940088147056e-31
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,2,1.0693269656505938e-32
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,3,3.769241134856271e-33
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,4,1.440853895635693e-33
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,5,5.64595170550348e-34
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,6,4.348066383673644e-34
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,7,2.7437304152127746e-34
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,8,1.7667302508185799e-34
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,9,8.670496200946383e-35
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,10,8.274288392876863e-35
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,11,1.1618876732419682e-35
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,12,8.856624225959867e-36
main_1972_start,minimal_full_panel,conley_250km,1,2.9067202553516297e-4
main_1972_start,minimal_full_panel,conley_250km,2,3.603981338920329e-5
main_1972_start,minimal_full_panel,conley_250km,3,1.0416614964757079e-5
main_1972_start,minimal_full_panel,conley_250km,4,8.497010622055653e-6
main_1972_start,minimal_full_panel,conley_250km,5,2.2165171295687857e-6
main_1972_start,minimal_full_panel,conley_250km,6,1.8521466477720059e-6
main_1972_start,minimal_full_panel,conley_250km,7,1.0738655054804213e-6
main_1972_start,minimal_full_panel,conley_250km,8,5.550744542190273e-7
main_1972_start,minimal_full_panel,conley_250km,9,3.8434208431798056e-7
main_1972_start,minimal_full_panel,conley_250km,10,3.1684768782046286e-7
main_1972_start,minimal_full_panel,conley_250km,11,9.112508509181463e-8
