sample,spec,se_type,vcov_dim,vcov_rank,vcov_rank_deficiency,min_diag,max_diag,median_diag
main_1972_start,minimal_full_panel,heteroskedastic,12,12,0,6.524120740516679e-6,3.300432807380182e-5,1.0392363588922157e-5
main_1972_start,minimal_full_panel,cluster_cz,12,12,0,1.5492034999808627e-6,4.724825610237361e-5,1.3245299604354036e-5
main_1972_start,minimal_full_panel,cluster_state,12,12,0,2.726626375673858e-6,7.692499915080568e-5,1.991501612167563e-5
main_1972_start,minimal_full_panel,cluster_cz_year,12,12,0,-1.5845391879892413e-5,1.8094234933984698e-5,1.2012269162436065e-7
main_1972_start,minimal_full_panel,newey_west_lag1,12,12,0,4.441441321769341e-6,3.575087938280636e-5,1.0917985381493399e-5
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,12,12,0,1.0862903029046542e-31,1.2191741007810637e-31,1.0939641132663003e-31
main_1972_start,minimal_full_panel,conley_250km,12,12,0,3.673553343936153e-6,7.768556387420335e-5,2.1990369586734397e-5
main_1972_start,minimal_full_panel,conley_500km,12,12,0,3.746044243381683e-6,1.175625428345432e-4,3.080328524900799e-5
main_1972_start,minimal_full_panel,conley_750km,12,12,0,4.902137464129472e-6,1.3321126146356805e-4,3.715785898783793e-5
main_1972_start,minimal_full_panel,conley_1000km,12,12,0,2.6689227322742352e-6,1.5989861065169106e-4,3.950815065268699e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,48,48,0,4.430498573154271e-6,3.2524131815673125e-4,4.4075123475674754e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,48,48,0,1.2904342067725658e-6,2.794069788040706e-4,2.7427112521336426e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,48,47,1,1.6454478261124652e-6,7.690301836214201e-4,4.774824890472388e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,48,48,0,-1.1063780777314882e-4,1.23313279569719e-4,1.8279027584348135e-6
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,48,48,0,3.1561073787132988e-6,3.523072219414268e-4,3.8554746131584994e-5
main_1972_start,interacted_core_controls_diagnostic,driscoll_kraay_lag1,48,23,25,2.3013038362572394e-30,1.1022477851489056e-28,1.531388340388892e-29
main_1972_start,interacted_core_controls_diagnostic,conley_250km,48,48,0,1.673550159440027e-6,9.019049410987004e-4,4.0311333645728654e-5
main_1972_start,interacted_core_controls_diagnostic,conley_500km,48,48,0,3.527479303221723e-7,0.001512030481398762,5.754139373759174e-5
main_1972_start,interacted_core_controls_diagnostic,conley_750km,48,48,0,1.3021933505461974e-6,0.0011774504479966001,7.215143781194675e-5
main_1972_start,interacted_core_controls_diagnostic,conley_1000km,48,48,0,-2.955337611021504e-6,6.817353261117709e-4,5.921521848543841e-5
main_1972_start,interacted_controls_full_panel,heteroskedastic,84,84,0,4.485765751587403e-6,3.829229755181362e-4,1.4193725398175739e-4
main_1972_start,interacted_controls_full_panel,cluster_cz,84,84,0,1.3107801262545693e-6,3.443147471949102e-4,1.277419261622831e-4
main_1972_start,interacted_controls_full_panel,cluster_state,84,48,36,1.5918057249324615e-6,7.647846899519142e-4,1.7916649630352776e-4
main_1972_start,interacted_controls_full_panel,cluster_cz_year,84,84,0,-1.290285812609526e-4,1.3133600174037867e-4,2.783792083734455e-6
