outcome,spec,sample,se_type,term,year,reference_year,estimate,std.error,statistic,p.value,n_obs,n_cz,controls,outcome_label,spec_label
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-0.0011344689549517592,0.005836332071272296,-0.19438046723486893,0.8459327379144038,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.0042454556389448644,0.005716653998800178,-0.7426469469441229,0.45793733988851937,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2010,2010,2004,-0.0037018188073962032,0.005591158254102395,-0.662084426725012,0.508128672624542,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2012,2012,2004,-0.003534721938838999,0.005315709821118462,-0.6649576552873739,0.5062902095758854,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2014,2014,2004,-0.0027868294862504308,0.005516492019024004,-0.5051814589126308,0.6135857735980175,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2016,2016,2004,-0.0060709279772863615,0.009357517611883182,-0.6487754796824368,0.5166900933902198,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2018,2018,2004,9.521169523722833e-4,0.005154401549408324,0.1847192042074365,0.8535012273602876,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2020,2020,2004,-4.245051938639368e-4,0.005240767495960166,-0.08100057752822763,0.9354639719859311,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,minimal,nanda_2004_2022,cluster_cz,es_2022,2022,2004,-5.928849526552391e-4,0.004900284244036052,-0.12098991061116844,0.903732736003874,7208,722,none,Registered voters / CVAP,Minimal
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-1.509019083998132e-4,0.007892900705821604,-0.019118688302832924,0.9847517124493717,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.00705328712652444,0.007048515105720962,-1.000677024980709,0.317318693266457,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2010,2010,2004,-5.818118818021211e-4,0.0040274587149966975,-0.1444612901022868,0.8851765917339641,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,-0.001700823291330808,0.004140849450223368,-0.41074260529782386,0.6813833218011973,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2014,2014,2004,-9.323274258981302e-4,0.00409890126093643,-0.22745788847939505,0.8201321934073897,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.002987914795287847,0.006477329552116787,0.46128806188522525,0.6447310738059615,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2018,2018,2004,0.005151971885205927,0.004828604766802827,1.0669690591837797,0.28634293952804496,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.00473396559998878,0.004969201950443596,0.9526611410039761,0.341081046003021,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,core_controls,nanda_2004_2022,cluster_cz,es_2022,2022,2004,0.00418376019846501,0.00489852518288387,0.8540856772735702,0.3933411954203734,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Registered voters / CVAP,Core controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-0.0012548429786252264,0.007745255661167991,-0.1620144038519698,0.871339902577109,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.010080767317843705,0.007032672941045378,-1.4334190431362845,0.15217160706189775,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2010,2010,2004,0.004233615939651003,0.003638840805624051,1.1634518149592286,0.2450311240925403,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.0021346357865509786,0.0035633197356631386,0.5990581662337747,0.5493222719319106,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2014,2014,2004,0.003669453124669894,0.0036465004724002704,1.0062944328249368,0.31461155016729686,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.009914773813220394,0.005543824260997833,1.7884358064834893,0.07412549345786865,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2018,2018,2004,0.009707935626935704,0.004625643255981913,2.0987212133969337,0.036188742654186715,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.008922136702457303,0.00465149068746764,1.9181241674837541,0.05548994609967214,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
reg_voters_pct,full_controls,nanda_2004_2022,cluster_cz,es_2022,2022,2004,0.007904462684272674,0.004577098286180204,1.7269593506739631,0.08460326488756399,7208,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Registered voters / CVAP,Full controls
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-0.0016728083099341621,0.004599820404943404,-0.36366817890029,0.716212416596266,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.002914007207076826,0.004295340541451573,-0.6784112176800917,0.4977286746040458,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2010,2010,2004,7.740389978468503e-4,0.0033260623046382793,0.23271933203639422,0.8160454021918846,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2012,2012,2004,-0.001468577538515648,0.0032344525490620515,-0.4540420724185662,0.6499351886819315,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2014,2014,2004,8.538454098708524e-4,0.003377585969412706,0.2527975357557868,0.8004967271795298,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2016,2016,2004,4.7805105273485376e-4,0.004280267112288245,0.11168720086707068,0.9111025128051153,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2018,2018,2004,1.170365133355474e-4,0.0031219673794042595,0.03748806413149665,0.9701062337880013,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2020,2020,2004,8.315345503624009e-4,0.00315345092554653,0.26369034115166584,0.7920938839019198,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2022,2022,2004,-0.0010632768484539618,0.003216624178620714,-0.33055675435166754,0.741075348862436,7217,722,none,Ballots cast / CVAP,Minimal
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-0.005330599487664096,0.005753284133915816,-0.9265315884956943,0.3544798186466571,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.0050023926379301874,0.005043680442948046,-0.9918139530279746,0.3216210210412442,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2010,2010,2004,0.002900398616113251,0.002680708096610637,1.0819524213697047,0.2796353978583987,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.0021486839675890074,0.002344509581040475,0.916474807765741,0.35972434857126456,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2014,2014,2004,0.003928303661576598,0.0035139887721089167,1.1179044431661718,0.26398015181509366,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.0065907344603327415,0.004353869021882951,1.5137649817224856,0.13052367503582266,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2018,2018,2004,0.0059176682198506005,0.0030415590589994456,1.9456035885087442,0.05209065358320983,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.007069492205485084,0.00340852063332558,2.0740646649944483,0.0384276890009932,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2022,2022,2004,0.004215682203836347,0.0031464212241188866,1.3398340220695952,0.1807214305556024,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / CVAP,Core controls
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-0.004272978328773741,0.005397234161246286,-0.7916977846644065,0.4287972922117733,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.005805183261318822,0.00455656605399158,-1.2740259205138584,0.2030647402846973,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2010,2010,2004,0.004479406662428031,0.0028819869156350127,1.5542772377372314,0.12055711720715653,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.004017421004819966,0.0025732583587591566,1.561219452040251,0.11891078027003917,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
