outcome,year,n_cz,n_nonmissing,n_zero,n_nonzero,all_nonmissing_values_zero,min,max,mean,available_for_event_study
partisan_index_dem,2004,722,722,722,0,TRUE,0,0,0,FALSE
partisan_index_dem,2006,722,722,0,722,FALSE,0.11145333456268992,0.7426627918944337,0.41367644973877665,TRUE
partisan_index_dem,2008,722,722,0,722,FALSE,0.10974254926424808,0.7779552876273301,0.4299507260248688,TRUE
partisan_index_dem,2010,722,722,0,722,FALSE,0.10068904561110041,0.7519006499543441,0.41849482313773295,TRUE
partisan_index_dem,2012,722,722,0,722,FALSE,0.09608509816561707,0.7604035179791955,0.42207571830669893,TRUE
partisan_index_dem,2014,722,722,0,722,FALSE,0.08281149411730072,0.7596942782402,0.4058005488670118,TRUE
partisan_index_dem,2016,722,722,0,722,FALSE,0.0693224593997,0.7768151540161475,0.373542071700052,TRUE
partisan_index_dem,2018,722,722,253,469,FALSE,0,0.8303260657150805,0.23900975205288147,TRUE
partisan_index_dem,2020,722,722,0,722,FALSE,0.0732560604811,0.790220111331932,0.37340639930454644,TRUE
partisan_index_dem,2022,722,722,0,722,FALSE,0.0732560604811,0.784320488703065,0.3653333894911321,TRUE
partisan_index_rep,2004,722,722,722,0,TRUE,0,0,0,FALSE
partisan_index_rep,2006,722,722,0,722,FALSE,0.2573372134750191,0.8885466682787224,0.5863235498718384,TRUE
partisan_index_rep,2008,722,722,0,722,FALSE,0.22204469513324737,0.8902574526478546,0.5698703341336204,TRUE
partisan_index_rep,2010,722,722,0,722,FALSE,0.24809936608519875,0.899310952163263,0.5813262355654736,TRUE
partisan_index_rep,2012,722,722,0,722,FALSE,0.23959646751601868,0.903914894571241,0.5777453380012941,TRUE
partisan_index_rep,2014,722,722,0,722,FALSE,0.2403057217598,0.9171884951396069,0.594017821784225,TRUE
partisan_index_rep,2016,722,722,0,722,FALSE,0.22318484904674302,0.9306775331497,0.6262762991579347,TRUE
partisan_index_rep,2018,722,722,253,469,FALSE,0,0.9235181808472,0.3462927594897362,TRUE
partisan_index_rep,2020,722,722,0,722,FALSE,0.209779897230133,0.9267439246178,0.6264302135455333,TRUE
partisan_index_rep,2022,722,722,0,722,FALSE,0.2156795116642342,0.9267439246178,0.6345032228847737,TRUE
pres_dem_ratio,2004,722,722,0,722,FALSE,0.08099688473520249,0.736292692814432,0.39213228157528895,TRUE
pres_dem_ratio,2006,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_dem_ratio,2008,722,722,0,722,FALSE,0.09923782858920517,0.802020202020202,0.4295778069840062,TRUE
pres_dem_ratio,2010,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_dem_ratio,2012,722,722,0,722,FALSE,0.087306806971391,0.7950605921153551,0.3988397545648808,TRUE
pres_dem_ratio,2014,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_dem_ratio,2016,722,722,0,722,FALSE,0.04949053857350801,0.8070504313691705,0.34699511569460484,TRUE
pres_dem_ratio,2018,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_dem_ratio,2020,722,722,0,722,FALSE,0.05093167701863354,0.7902750099641291,0.35540827116031126,TRUE
pres_dem_ratio,2022,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_rep_ratio,2004,722,722,0,722,FALSE,0.26370730718556806,0.9190031152647975,0.6078677184247111,TRUE
pres_rep_ratio,2006,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_rep_ratio,2008,722,722,0,722,FALSE,0.19797979797979798,0.9007621714107948,0.5704221930159938,TRUE
pres_rep_ratio,2010,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_rep_ratio,2012,722,722,0,722,FALSE,0.20493940788464488,0.912693193028609,0.6011602454351193,TRUE
pres_rep_ratio,2014,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_rep_ratio,2016,722,722,0,722,FALSE,0.19294956863082946,0.9505094614264921,0.6530048843053952,TRUE
pres_rep_ratio,2018,722,0,0,0,FALSE,NA,NA,NA,FALSE
pres_rep_ratio,2020,722,722,0,722,FALSE,0.20972499003587086,0.9490683229813665,0.6445917288396887,TRUE
pres_rep_ratio,2022,722,0,0,0,FALSE,NA,NA,NA,FALSE
reg_voter_turnout_pct,2004,722,717,0,717,FALSE,0.1455795777507105,1.2910658180939338,0.691290685385365,TRUE
reg_voter_turnout_pct,2006,722,661,40,621,FALSE,0,1.2874282733437663,0.4445497929784189,TRUE
reg_voter_turnout_pct,2008,722,670,2,668,FALSE,0,1.0919471153846154,0.6917452017946284,TRUE
reg_voter_turnout_pct,2010,722,703,0,703,FALSE,0.1541160050797802,1.2339143533293198,0.5093390499339924,TRUE
reg_voter_turnout_pct,2012,722,700,1,699,FALSE,0,1.184635056246945,0.6733539066935469,TRUE
reg_voter_turnout_pct,2014,722,702,16,686,FALSE,0,1.2746718906859207,0.4673627097952026,TRUE
reg_voter_turnout_pct,2016,722,699,61,638,FALSE,0,0.9551179757703029,0.5886909748023254,TRUE
reg_voter_turnout_pct,2018,722,701,1,700,FALSE,0,1.0032807626261826,0.5768743576231858,TRUE
reg_voter_turnout_pct,2020,722,702,0,702,FALSE,0.22814278922226644,0.9863715800932318,0.7189012206514794,TRUE
reg_voter_turnout_pct,2022,722,704,0,704,FALSE,0.29565931969594694,1.4537996545768566,0.529465988512041,TRUE
reg_voters_pct,2004,722,721,0,721,FALSE,0.1091735327338476,1.1813471502590673,0.861149434410037,TRUE
reg_voters_pct,2006,722,722,50,672,FALSE,0,1.3338345460614498,0.7854939406688802,TRUE
reg_voters_pct,2008,722,721,43,678,FALSE,0,1.3438450354785605,0.7900299571705928,TRUE
reg_voters_pct,2010,722,721,15,706,FALSE,0,1.225278106174375,0.8355018184079516,TRUE
reg_voters_pct,2012,722,720,16,704,FALSE,0,1.1791899441340783,0.836151436829816,TRUE
reg_voters_pct,2014,722,721,16,705,FALSE,0,1.1821138211382114,0.8150448923528485,TRUE
reg_voters_pct,2016,722,720,17,703,FALSE,0,1.4366138658289878,0.8299246128284645,TRUE
reg_voters_pct,2018,722,721,16,705,FALSE,0,1.1598400768380577,0.7957796108512888,TRUE
reg_voters_pct,2020,722,720,15,705,FALSE,0,1.4983474040037443,0.8358091316943392,TRUE
reg_voters_pct,2022,722,721,15,706,FALSE,0,1.202112152531472,0.8330690441561943,TRUE
voter_turnout_pct,2004,722,722,0,722,FALSE,0.07153902056755597,0.8781362007168458,0.5944310970871818,TRUE
voter_turnout_pct,2006,722,722,62,660,FALSE,0,0.909044193216855,0.36414613476886043,TRUE
voter_turnout_pct,2008,722,722,14,708,FALSE,0,1.244205570367009,0.5755900567294279,TRUE
voter_turnout_pct,2010,722,722,0,722,FALSE,0.13766496321671254,0.8127906976744186,0.4362455628922064,TRUE
voter_turnout_pct,2012,722,722,2,720,FALSE,0,1.308096415327565,0.5789843316813669,TRUE
voter_turnout_pct,2014,722,722,17,705,FALSE,0,1.0463311524148038,0.3924155998537456,TRUE
voter_turnout_pct,2016,722,722,63,659,FALSE,0,0.9300813008130081,0.5175706295627533,TRUE
voter_turnout_pct,2018,722,721,1,720,FALSE,0,0.9194176463317633,0.4713957167375787,TRUE
voter_turnout_pct,2020,722,721,0,721,FALSE,0.009611719583377783,1.0858639443745823,0.6142978907309768,TRUE
voter_turnout_pct,2022,722,721,0,721,FALSE,0.00817518032834899,0.8943186013887985,0.447639630294633,TRUE
