sample,year,n_cz_total,n_cz_with_outcome,missing_cz_years,share_cz_with_outcome
diagnostic_1952_start,1952,722,722,0,1
diagnostic_1952_start,1956,722,722,0,1
diagnostic_1952_start,1960,722,722,0,1
diagnostic_1952_start,1964,722,722,0,1
diagnostic_1952_start,1968,722,722,0,1
diagnostic_1952_start,1972,722,722,0,1
diagnostic_1952_start,1976,722,722,0,1
diagnostic_1952_start,1980,722,722,0,1
diagnostic_1952_start,1984,722,722,0,1
diagnostic_1952_start,1988,722,722,0,1
diagnostic_1952_start,1992,722,722,0,1
diagnostic_1952_start,1996,722,722,0,1
diagnostic_1952_start,2000,722,722,0,1
diagnostic_1952_start,2004,722,722,0,1
diagnostic_1952_start,2008,722,722,0,1
diagnostic_1952_start,2012,722,722,0,1
diagnostic_1952_start,2016,722,722,0,1
diagnostic_1952_start,2020,722,722,0,1
main_1972_start,1972,722,722,0,1
main_1972_start,1976,722,722,0,1
main_1972_start,1980,722,722,0,1
main_1972_start,1984,722,722,0,1
main_1972_start,1988,722,722,0,1
main_1972_start,1992,722,722,0,1
main_1972_start,1996,722,722,0,1
main_1972_start,2000,722,722,0,1
main_1972_start,2004,722,722,0,1
main_1972_start,2008,722,722,0,1
main_1972_start,2012,722,722,0,1
main_1972_start,2016,722,722,0,1
main_1972_start,2020,722,722,0,1
