year,source_decade,source_decade_default,county_fips,county_fips_for_crosswalk,state_fips,state,county_name,source_scope,bridge_exception_applied,exception_issue_class,exception_reason,twoparty_votes,has_positive_crosswalk_weight,raw_weight_undefined,fallback_used,source_two_party_votes_prejoin,vote_share_of_year,source_issue_class
1952,1970,1970,32025,32025,32,NV,ORMSBY,adh_mainland_eligible,FALSE,NA,NA,2232,FALSE,FALSE,FALSE,60656890,3.679713879165252e-5,pre_1972_diagnostic_only
1952,1970,1970,46001,46001,46,SD,ARMSTRONG,adh_mainland_eligible,FALSE,NA,NA,11,FALSE,FALSE,FALSE,60656890,1.8134790623126243e-7,pre_1972_diagnostic_only
1952,1970,1970,51129,51129,51,VA,NORFOLK,adh_mainland_eligible,FALSE,NA,NA,12380,FALSE,FALSE,FALSE,60656890,2.04098825376639e-4,pre_1972_diagnostic_only
1952,1970,1970,51151,51151,51,VA,PRINCESS ANNE,adh_mainland_eligible,FALSE,NA,NA,6217,FALSE,FALSE,FALSE,60656890,1.0249453936725077e-4,pre_1972_diagnostic_only
1952,1970,1970,51785,51785,51,VA,SOUTH NORFOLK CITY,adh_mainland_eligible,FALSE,NA,NA,2880,FALSE,FALSE,FALSE,60656890,4.7480179086003256e-5,pre_1972_diagnostic_only
1956,1970,1970,32025,32025,32,NV,ORMSBY,adh_mainland_eligible,FALSE,NA,NA,2571,FALSE,FALSE,FALSE,61618950,4.1724177383743154e-5,pre_1972_diagnostic_only
1956,1970,1970,51129,51129,51,VA,NORFOLK,adh_mainland_eligible,FALSE,NA,NA,10584,FALSE,FALSE,FALSE,61618950,1.7176534166843155e-4,pre_1972_diagnostic_only
1956,1970,1970,51151,51151,51,VA,PRINCESS ANNE,adh_mainland_eligible,FALSE,NA,NA,9017,FALSE,FALSE,FALSE,61618950,1.4633485315799767e-4,pre_1972_diagnostic_only
1956,1970,1970,51785,51785,51,VA,SOUTH NORFOLK CITY,adh_mainland_eligible,FALSE,NA,NA,3392,FALSE,FALSE,FALSE,61618950,5.5048000655642463e-5,pre_1972_diagnostic_only
1960,1970,1970,15001,15001,15,HI,HAWAII,excluded_nonmainland,FALSE,NA,NA,23808,FALSE,TRUE,TRUE,68237274,3.4890022130719937e-4,excluded_nonmainland
1960,1970,1970,15003,15003,15,HI,HONOLULU,excluded_nonmainland,FALSE,NA,NA,134456,FALSE,TRUE,TRUE,68237274,0.001970418689351512,excluded_nonmainland
1960,1970,1970,15007,15007,15,HI,KAUAI,excluded_nonmainland,FALSE,NA,NA,10291,FALSE,TRUE,TRUE,68237274,1.5081200342205933e-4,excluded_nonmainland
1960,1970,1970,15009,15009,15,HI,MAUI,excluded_nonmainland,FALSE,NA,NA,16150,FALSE,TRUE,TRUE,68237274,2.3667416725937793e-4,excluded_nonmainland
1960,1970,1970,32025,32025,32,NV,ORMSBY,adh_mainland_eligible,FALSE,NA,NA,3229,FALSE,FALSE,FALSE,68237274,4.732017870467686e-5,pre_1972_diagnostic_only
1960,1970,1970,51129,51129,51,VA,NORFOLK,adh_mainland_eligible,FALSE,NA,NA,8870,FALSE,FALSE,FALSE,68237274,1.299876076526738e-4,pre_1972_diagnostic_only
1960,1970,1970,51151,51151,51,VA,PRINCESS ANNE,adh_mainland_eligible,FALSE,NA,NA,10798,FALSE,FALSE,FALSE,68237274,1.5824196025181192e-4,pre_1972_diagnostic_only
1960,1970,1970,51785,51785,51,VA,SOUTH NORFOLK CITY,adh_mainland_eligible,FALSE,NA,NA,3496,FALSE,FALSE,FALSE,68237274,5.1232996206735926e-5,pre_1972_diagnostic_only
1964,1970,1970,15001,15001,15,HI,HAWAII,excluded_nonmainland,FALSE,NA,NA,24973,FALSE,TRUE,TRUE,70447870,3.544890711387016e-4,excluded_nonmainland
1964,1970,1970,15003,15003,15,HI,HONOLULU,excluded_nonmainland,FALSE,NA,NA,155395,FALSE,TRUE,TRUE,70447870,0.0022058154490689355,excluded_nonmainland
1964,1970,1970,15007,15007,15,HI,KAUAI,excluded_nonmainland,FALSE,NA,NA,10684,FALSE,TRUE,TRUE,70447870,1.516582403414042e-4,excluded_nonmainland
1964,1970,1970,15009,15009,15,HI,MAUI,excluded_nonmainland,FALSE,NA,NA,16219,FALSE,TRUE,TRUE,70447870,2.302269749248629e-4,excluded_nonmainland
1964,1970,1970,32025,32025,32,NV,ORMSBY,adh_mainland_eligible,FALSE,NA,NA,4126,FALSE,FALSE,FALSE,70447870,5.856812988100279e-5,pre_1972_diagnostic_only
1968,1970,1970,15001,15001,15,HI,HAWAII,excluded_nonmainland,FALSE,NA,NA,25444,FALSE,TRUE,TRUE,63174774,4.027556948601035e-4,excluded_nonmainland
1968,1970,1970,15003,15003,15,HI,HONOLULU,excluded_nonmainland,FALSE,NA,NA,179400,FALSE,TRUE,TRUE,63174774,0.002839741065001673,excluded_nonmainland
1968,1970,1970,15007,15007,15,HI,KAUAI,excluded_nonmainland,FALSE,NA,NA,11191,FALSE,TRUE,TRUE,63174774,1.771434908496863e-4,excluded_nonmainland
1968,1970,1970,15009,15009,15,HI,MAUI,excluded_nonmainland,FALSE,NA,NA,16714,FALSE,TRUE,TRUE,63174774,2.6456762631236325e-4,excluded_nonmainland
1968,1970,1970,32025,32025,32,NV,ORMSBY,adh_mainland_eligible,FALSE,NA,NA,4939,FALSE,FALSE,FALSE,63174774,7.817993935364138e-5,pre_1972_diagnostic_only
1972,1970,1970,15001,15001,15,HI,HAWAII,excluded_nonmainland,FALSE,NA,NA,28484,FALSE,TRUE,TRUE,76242330,3.7359823604551435e-4,excluded_nonmainland
