year,source_scope,source_issue_class,unmatched_source_counties,unmatched_two_party_votes
1952,adh_mainland_eligible,pre_1972_diagnostic_only,16,42929
1956,adh_mainland_eligible,pre_1972_diagnostic_only,15,43709
1960,adh_mainland_eligible,pre_1972_diagnostic_only,15,45071
1960,excluded_nonmainland,excluded_nonmainland,4,184705
1964,adh_mainland_eligible,pre_1972_diagnostic_only,12,22173
1964,excluded_nonmainland,excluded_nonmainland,4,207271
1968,adh_mainland_eligible,pre_1972_diagnostic_only,12,19997
1968,excluded_nonmainland,excluded_nonmainland,4,232749
1972,adh_mainland_eligible,unexpected_unmatched,11,16620
1972,excluded_nonmainland,excluded_nonmainland,4,270274
1976,adh_mainland_eligible,unexpected_unmatched,11,17092
1976,excluded_nonmainland,excluded_nonmainland,4,287378
1980,adh_mainland_eligible,unexpected_unmatched,10,16083
1980,excluded_nonmainland,excluded_nonmainland,4,265942
1984,adh_mainland_eligible,unexpected_unmatched,10,16750
1984,excluded_nonmainland,excluded_nonmainland,4,332137
1988,adh_mainland_eligible,unexpected_unmatched,10,15282
1988,excluded_nonmainland,excluded_nonmainland,4,350989
2000,adh_mainland_eligible,unexpected_unmatched,10,13395
2000,excluded_nonmainland,excluded_nonmainland,5,343102
2004,adh_mainland_eligible,unexpected_unmatched,10,14974
2004,excluded_nonmainland,excluded_nonmainland,5,425491
2008,adh_mainland_eligible,unexpected_unmatched,10,13783
2008,excluded_nonmainland,excluded_nonmainland,5,445661
2012,adh_mainland_eligible,unexpected_unmatched,9,12126
2012,excluded_nonmainland,excluded_nonmainland,5,427230
2016,adh_mainland_eligible,unexpected_unmatched,9,11160
2016,excluded_nonmainland,excluded_nonmainland,5,395753
2020,adh_mainland_eligible,unexpected_unmatched,7,10541
2020,excluded_nonmainland,excluded_nonmainland,5,563018
