sample,spec,se_type,term,year,estimate,std.error,conf.low,conf.high,statistic,p.value,vcov_repair_required,vcov_repaired
main_1972_start,minimal_full_panel,cluster_cz,es_1972,1972,1.5105295715452105e-4,0.0018992007527234758,-0.0035713121175948515,0.0038734180319038936,0.07953501331436888,0.9366291527087951,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_1976,1976,-0.007401184252370586,0.003993798150205076,-0.015228884788295222,4.265162835540501e-4,-1.8531693325539114,0.06426645743602656,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_1980,1980,-0.0072589534056072946,0.0038490099899682975,-0.01480287436208003,2.849675508654415e-4,-1.8859274006891011,0.05970646473948976,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_1984,1984,-6.26202640336429e-4,0.0013396559875774908,-0.0032518801276617488,0.0019994748469888907,-0.467435405912525,0.6403296349957363,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_1992,1992,-0.003277389064065739,0.0012446286636839127,-0.005716816419012423,-8.379617091190551e-4,-2.6332264069551177,0.008639018794635125,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_1996,1996,-0.0023755233984667466,0.0021597112438734452,-0.0066084796534649,0.0018574328565314066,-1.0999263930330991,0.27173130475001417,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_2000,2000,-0.0011012560391579305,0.003146346605031541,-0.00726798206789962,0.005065469989583759,-0.3500110373716728,0.726432633075652,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_2004,2004,-4.982422004418709e-4,0.003417039542102372,-0.007195516636711756,0.006199032235828014,-0.1458110725096619,0.8841112895254029,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_2008,2008,0.002043466660445494,0.004135471337918227,-0.0060619082209719,0.010148841541862888,0.49413150121702054,0.6213638176187004,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_2012,2012,0.00302659529672818,0.0048982081920136335,-0.006573716348397592,0.012626906941853953,0.6178984596169154,0.5368373915790736,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_2016,2016,0.008363279050551693,0.0068712859044458875,-0.005104193849639975,0.02183075195074336,1.2171344879042874,0.2239512822099819,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,es_2020,2020,0.008735685844187354,0.00619613855651163,-0.0034085225697954354,0.02087989425817014,1.409859667357966,0.1590123357658786,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_1972,1972,0.002055569207550111,0.0025064673247414725,-0.002857016477369634,0.006968154892469856,0.8201061259644112,0.4124266439516613,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_1976,1976,-0.005058013576623723,0.0029281474382804647,-0.010797077097076654,6.810499438292079e-4,-1.7273766718502426,0.08452828828784642,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_1980,1980,-4.6883214329463286e-4,0.002611317227675487,-0.005586919861747567,0.004649255575158301,-0.179538563268306,0.8575652834827763,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_1984,1984,0.00037408667227063677,0.0011359861446788924,-0.0018524052582364991,0.0026005786027777727,0.3293056645302477,0.7420203002458696,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_1992,1992,-0.0034416299368837727,0.0013470248037073859,-0.006081750038432384,-8.01509835335161e-4,-2.5549863131038513,0.010823438940267358,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_1996,1996,-0.0038859746804476855,0.002593820445622998,-0.008969769336232395,0.001197819975337023,-1.4981664158770756,0.1345276869265255,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2000,2000,-0.0029032167818525984,0.0028737923753002536,-0.008535746336486908,0.0027293127727817112,-1.0102388769645443,0.312719761715245,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2004,2004,-0.0028702613910262685,0.0024087089368441824,-0.007591244156480628,0.0018507213744280914,-1.1916181931000756,0.23380307995582136,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2008,2008,9.923013370923212e-4,0.0026989075491754065,-0.004297460256894739,0.006282062931079382,0.36766777631767994,0.7132288722123757,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2012,2012,0.0010237169398616764,0.002886544301202281,-0.004633805930274131,0.006681239809997483,0.35465138693187065,0.7229544799502208,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2016,2016,8.112257232054951e-4,0.002492083337990511,-0.004073167865728264,0.005695619312139254,0.3255211055099089,0.7448811555374243,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,es_2020,2020,2.1662474764942014e-4,0.0026958488442634294,-0.005067141894870829,0.0055003913901696695,0.08035493091921006,0.9359772693065705,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1972,1972,0.0019571132964398396,0.0024186495291793645,-0.002783352671976472,0.006697579264856151,0.8091760599576733,0.41868082454699873,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1976,1976,-0.0037769600343041526,0.002896886569319682,-0.009454753377468523,0.001900833308860218,-1.3037997670689436,0.19271798067236517,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1980,1980,-0.001311982885933016,0.0022554388938603896,-0.005732561887230236,0.0031085961153642042,-0.5816973758430837,0.5609523592453178,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1984,1984,-2.9169065446642967e-4,0.001144886639013954,-0.002535627233314889,0.0019522459243820297,-0.25477688753329447,0.7989680787583042,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1992,1992,-0.004068627891210789,0.0014104465517260666,-0.00683305233471259,-0.0013042034477089887,-2.884638121332362,0.004035535897441027,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_1996,1996,-0.006639084877647578,0.002454578113654206,-0.011449969577650085,-0.0018282001776450717,-2.70477636898822,0.006996346673285586,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2000,2000,-0.006836466714422944,0.0028122807080235754,-0.012348435616565954,-0.0013244978122799334,-2.430933261718209,0.015302749643365181,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2004,2004,-0.005977607557562823,0.0026017998961266288,-0.01107704164895107,-8.781734661745784e-4,-2.297489352068102,0.021876439037003433,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2008,2008,-0.001689858221255754,0.0029663749725465077,-0.0075038463320878995,0.0041241298895763915,-0.569671143026494,0.5690782091535016,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2012,2012,-0.0017574597678680914,0.0032706338249540046,-0.008167784271396418,0.0046528647356602355,-0.5373453165130178,0.5911949020855114,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2016,2016,-0.001227074835998418,0.0028257845971907886,-0.0067655108745603865,0.004311361202563551,-0.4342421701987816,0.664242510059182,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,es_2020,2020,-0.0017834841786566677,0.002855418551348924,-0.007380001700088093,0.0038130333427747578,-0.6245964108533701,0.532433571688953,FALSE,FALSE
